node_id,infra_type,lat,lon,flood_depth_m,cascade_fail_freq,betweenness_centrality,upstream_trigger
telecom_cluster_0129,telecom,40.71027368421053,-73.98015789473685,0.0,1.0,0.0,power_farragut
telecom_cluster_0130,telecom,40.71070909090909,-73.97547272727273,0.0,1.0,0.0,power_hudson_avenue
telecom_cluster_0131,telecom,40.7109,-73.972075,0.0,1.0,0.0,power_hudson_avenue
telecom_cluster_0132,telecom,40.7171,-74.02,0.0,1.0,0.0,power_leonard_street
telecom_cluster_0137,telecom,40.71426363636363,-73.9942090909091,0.0,1.0,0.0,power_cherry_street
telecom_cluster_0140,telecom,40.71437142857143,-73.97978571428571,0.0,1.0,0.0,power_cherry_street
telecom_cluster_0142,telecom,40.7164,-73.9704,0.0,1.0,0.0,power_east_13th_street
telecom_cluster_0143,telecom,40.7181,-74.0197,0.0,1.0,0.0,power_leonard_street
telecom_cluster_0153,telecom,40.71933333333333,-73.97096666666665,0.0,1.0,0.0,power_east_13th_street
telecom_cluster_0164,telecom,40.7309,-74.01523333333334,0.0,1.0,0.0,power_leonard_street
telecom_cluster_0209,telecom,40.750914,-73.979778,0.0,1.0,0.0,power_east_36th_street
telecom_cluster_0210,telecom,40.75112790697675,-73.97549534883721,0.0,1.0,0.0,power_east_36th_street
telecom_cluster_0211,telecom,40.74937142857143,-73.97094285714286,0.0,1.0,0.0,power_east_36th_street
telecom_cluster_0216,telecom,40.7537375,-73.98505535714285,0.0,1.0,0.0,power_east_36th_street
telecom_cluster_0217,telecom,40.75341923076923,-73.98056538461539,0.0,1.0,0.0,power_east_36th_street
telecom_cluster_0218,telecom,40.75407647058824,-73.97483529411765,0.0,1.0,0.0,power_east_36th_street
telecom_cluster_0219,telecom,40.753890909090906,-73.97113636363636,0.0,1.0,0.0,power_east_36th_street
telecom_cluster_0221,telecom,40.71365,-73.99415,0.0,1.0,0.0,power_cherry_street
hospital_new_york_presbyterian_lower_ma,hospital,40.71029325171176,-74.00495109189525,0.0,1.0,0.0,power_leonard_street
subway_york_st_f,subway,40.701397,-73.986751,0.0,1.0,0.000235,subway_east_broadway_f
subway_fulton_st_23,subway,40.709416,-74.006571,0.0,1.0,0.000235,power_leonard_street
subway_fulton_st_ac,subway,40.710197,-74.007691,0.0,1.0,0.0,power_leonard_street
subway_fulton_st_45,subway,40.710368,-74.009509,0.0,1.0,0.000377,power_leonard_street
subway_fulton_st_jz,subway,40.710374,-74.007582,0.0,1.0,0.000436,power_leonard_street
subway_world_trade_center_e,subway,40.712582,-74.009781,0.0,1.0,0.0,power_leonard_street
subway_east_broadway_f,subway,40.713715,-73.990173,0.0,1.0,0.000779,power_cherry_street
subway_14_st_ace,subway,40.740893,-74.00169,0.0,1.0,0.001123,subway_w_4_st_wash_sq_abcdefm
subway_18_st_1,subway,40.74104,-73.997871,0.0,1.0,0.000343,subway_14_st_123
subway_23_st_rw,subway,40.741303,-73.989344,0.0,1.0,0.000131,subway_14_st_union_sq_nqrw
subway_23_st_fm,subway,40.742878,-73.992821,0.0,1.0,2.9e-05,subway_14_st_fm
subway_23_st_1,subway,40.744081,-73.995657,0.0,1.0,1.7e-05,subway_18_st_1
subway_23_st_ce,subway,40.745906,-73.998041,0.0,1.0,0.0,subway_14_st_ace
subway_28_st_1,subway,40.747215,-73.993365,0.0,1.0,1.7e-05,subway_23_st_1
subway_34_st_penn_station_123,subway,40.750373,-73.991057,0.0,1.0,0.000343,subway_14_st_123
subway_grand_central_42_st_7,subway,40.751431,-73.976041,0.0,1.0,0.0,power_east_36th_street
subway_grand_central_42_st_456,subway,40.751776,-73.976848,0.0,1.0,0.000426,power_east_36th_street
subway_34_st_penn_station_ace,subway,40.752287,-73.993391,0.0,1.0,0.0,subway_14_st_ace
subway_grand_central_42_st_s,subway,40.752769,-73.979189,0.0,1.0,0.0,power_east_36th_street
subway_5_av_7,subway,40.753821,-73.981963,0.0,1.0,0.0,power_east_36th_street
subway_42_st_bryant_pk_bdfm,subway,40.754222,-73.984569,0.0,1.0,0.000501,power_east_36th_street
subway_times_sq_42_st_nqrw,subway,40.754672,-73.986754,0.0,1.0,0.000286,power_east_36th_street
water_red_hook_poll_control_plant,water,40.703964,-73.978522,0.0,1.0,0.0,power_hudson_avenue
water_red_hook_pollution_plant,water,40.702446,-73.979792,0.0,1.0,0.0,water_manhattan_sewage_pump_station
water_brooklyn_navy_yard_admiral_row,water,40.698828,-73.979245,0.0,1.0,0.0,water_manhattan_sewage_pump_station
water_red_hook_wwtp,water,40.698638884161184,-73.9753964523408,0.0,1.0,0.0,water_manhattan_sewage_pump_station
water_newton_creek_wwtp,water,40.733638,-73.947611,0.0,1.0,0.0,water_manhattan_sewage_pump_station
fuel_terminal_bayonne_terminal_complex,fuel,40.662,-74.096,0.0,1.0,0.0,power_leonard_street
fuel_terminal_tremley_point_terminal_linden_nj,fuel,40.628,-74.22,0.0,1.0,0.0,power_leonard_street
fuel_terminal_perth_amboy_terminal,fuel,40.508,-74.264,0.0,1.0,0.0,power_leonard_street
fuel_terminal_bronx_terminal_hunts_point,fuel,40.81,-73.88,0.0,1.0,0.0,power_east_36th_street
fuel_terminal_staten_island_terminal_howland_hoo,fuel,40.642,-74.17,0.0,1.0,0.0,power_leonard_street
telecom_cluster_0070,telecom,40.74071428571428,-74.0089642857143,0.0,0.807,0.0,fuel_station_mobil_012
telecom_cluster_0072,telecom,40.74135384615385,-74.00107692307692,0.0,0.807,0.0,fuel_station_mobil_012
telecom_cluster_0074,telecom,40.74105333333333,-73.9895,0.0,0.807,0.0,fuel_station_mobil_012
telecom_cluster_0078,telecom,40.7438,-74.00865,0.0,0.807,0.0,fuel_station_mobil_012
telecom_cluster_0079,telecom,40.74533636363637,-74.0059,0.0,0.807,0.0,fuel_station_mobil_012
telecom_cluster_0080,telecom,40.744925,-73.9984875,0.0,0.807,0.0,fuel_station_mobil_012
telecom_cluster_0081,telecom,40.74435172413793,-73.99521034482758,0.0,0.807,0.0,fuel_station_mobil_012
telecom_cluster_0082,telecom,40.744995238095235,-73.99004285714285,0.0,0.807,0.0,fuel_station_mobil_012
telecom_cluster_0185,telecom,40.74026875,-74.0099125,0.0,0.807,0.0,fuel_station_mobil_012
telecom_cluster_0186,telecom,40.74014,-74.00439333333334,0.0,0.807,0.0,fuel_station_mobil_012
telecom_cluster_0187,telecom,40.740275,-74.000775,0.0,0.807,0.0,fuel_station_mobil_012
telecom_cluster_0189,telecom,40.74014324324324,-73.98980810810811,0.0,0.807,0.0,fuel_station_mobil_012
telecom_cluster_0195,telecom,40.74524,-74.00604,0.0,0.807,0.0,fuel_station_mobil_012
telecom_cluster_0196,telecom,40.74580909090909,-73.99983636363636,0.0,0.807,0.0,fuel_station_mobil_012
telecom_cluster_0197,telecom,40.745239285714284,-73.99485357142858,0.0,0.807,0.0,fuel_station_mobil_012
telecom_cluster_0198,telecom,40.74460943396227,-73.98964528301887,0.0,0.807,0.0,fuel_station_mobil_012
